datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-04-05 03:10:00-04:00,2026-04-05 07:10:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:10:00-04:00,2026-04-05 07:10:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:15:00-04:00,2026-04-05 07:15:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:15:00-04:00,2026-04-05 07:15:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:20:00-04:00,2026-04-05 07:20:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:20:00-04:00,2026-04-05 07:20:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:25:00-04:00,2026-04-05 07:25:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:25:00-04:00,2026-04-05 07:25:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:30:00-04:00,2026-04-05 07:30:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:30:00-04:00,2026-04-05 07:30:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:35:00-04:00,2026-04-05 07:35:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:35:00-04:00,2026-04-05 07:35:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:40:00-04:00,2026-04-05 07:40:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:40:00-04:00,2026-04-05 07:40:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:45:00-04:00,2026-04-05 07:45:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:45:00-04:00,2026-04-05 07:45:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:50:00-04:00,2026-04-05 07:50:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:50:00-04:00,2026-04-05 07:50:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 03:55:00-04:00,2026-04-05 07:55:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 03:55:00-04:00,2026-04-05 07:55:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:00:00-04:00,2026-04-05 08:00:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:00:00-04:00,2026-04-05 08:00:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:05:00-04:00,2026-04-05 08:05:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:05:00-04:00,2026-04-05 08:05:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:10:00-04:00,2026-04-05 08:10:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:10:00-04:00,2026-04-05 08:10:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:15:00-04:00,2026-04-05 08:15:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:15:00-04:00,2026-04-05 08:15:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:20:00-04:00,2026-04-05 08:20:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:20:00-04:00,2026-04-05 08:20:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:25:00-04:00,2026-04-05 08:25:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:25:00-04:00,2026-04-05 08:25:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:30:00-04:00,2026-04-05 08:30:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:30:00-04:00,2026-04-05 08:30:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:35:00-04:00,2026-04-05 08:35:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:35:00-04:00,2026-04-05 08:35:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:40:00-04:00,2026-04-05 08:40:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:40:00-04:00,2026-04-05 08:40:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:45:00-04:00,2026-04-05 08:45:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:45:00-04:00,2026-04-05 08:45:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:50:00-04:00,2026-04-05 08:50:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:50:00-04:00,2026-04-05 08:50:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 04:55:00-04:00,2026-04-05 08:55:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 04:55:00-04:00,2026-04-05 08:55:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:00:00-04:00,2026-04-05 09:00:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:00:00-04:00,2026-04-05 09:00:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:05:00-04:00,2026-04-05 09:05:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:05:00-04:00,2026-04-05 09:05:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:10:00-04:00,2026-04-05 09:10:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:10:00-04:00,2026-04-05 09:10:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:15:00-04:00,2026-04-05 09:15:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:15:00-04:00,2026-04-05 09:15:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:20:00-04:00,2026-04-05 09:20:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:20:00-04:00,2026-04-05 09:20:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:25:00-04:00,2026-04-05 09:25:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:25:00-04:00,2026-04-05 09:25:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:30:00-04:00,2026-04-05 09:30:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:30:00-04:00,2026-04-05 09:30:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:35:00-04:00,2026-04-05 09:35:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:35:00-04:00,2026-04-05 09:35:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:40:00-04:00,2026-04-05 09:40:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:40:00-04:00,2026-04-05 09:40:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:45:00-04:00,2026-04-05 09:45:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:45:00-04:00,2026-04-05 09:45:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:50:00-04:00,2026-04-05 09:50:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:50:00-04:00,2026-04-05 09:50:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 05:55:00-04:00,2026-04-05 09:55:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 05:55:00-04:00,2026-04-05 09:55:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:00:00-04:00,2026-04-05 10:00:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:00:00-04:00,2026-04-05 10:00:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:05:00-04:00,2026-04-05 10:05:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:05:00-04:00,2026-04-05 10:05:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:10:00-04:00,2026-04-05 10:10:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:10:00-04:00,2026-04-05 10:10:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:15:00-04:00,2026-04-05 10:15:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:15:00-04:00,2026-04-05 10:15:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:20:00-04:00,2026-04-05 10:20:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:20:00-04:00,2026-04-05 10:20:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:25:00-04:00,2026-04-05 10:25:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:25:00-04:00,2026-04-05 10:25:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:30:00-04:00,2026-04-05 10:30:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:30:00-04:00,2026-04-05 10:30:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:35:00-04:00,2026-04-05 10:35:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:35:00-04:00,2026-04-05 10:35:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:40:00-04:00,2026-04-05 10:40:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:40:00-04:00,2026-04-05 10:40:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:45:00-04:00,2026-04-05 10:45:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:45:00-04:00,2026-04-05 10:45:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:50:00-04:00,2026-04-05 10:50:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:50:00-04:00,2026-04-05 10:50:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 06:55:00-04:00,2026-04-05 10:55:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 06:55:00-04:00,2026-04-05 10:55:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:00:00-04:00,2026-04-05 11:00:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:00:00-04:00,2026-04-05 11:00:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:05:00-04:00,2026-04-05 11:05:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:05:00-04:00,2026-04-05 11:05:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:10:00-04:00,2026-04-05 11:10:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:10:00-04:00,2026-04-05 11:10:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:15:00-04:00,2026-04-05 11:15:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:15:00-04:00,2026-04-05 11:15:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:20:00-04:00,2026-04-05 11:20:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:20:00-04:00,2026-04-05 11:20:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:25:00-04:00,2026-04-05 11:25:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:25:00-04:00,2026-04-05 11:25:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:30:00-04:00,2026-04-05 11:30:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:30:00-04:00,2026-04-05 11:30:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:35:00-04:00,2026-04-05 11:35:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:35:00-04:00,2026-04-05 11:35:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:40:00-04:00,2026-04-05 11:40:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:40:00-04:00,2026-04-05 11:40:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:45:00-04:00,2026-04-05 11:45:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:45:00-04:00,2026-04-05 11:45:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:50:00-04:00,2026-04-05 11:50:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:50:00-04:00,2026-04-05 11:50:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 07:55:00-04:00,2026-04-05 11:55:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 07:55:00-04:00,2026-04-05 11:55:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:00:00-04:00,2026-04-05 12:00:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:00:00-04:00,2026-04-05 12:00:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:05:00-04:00,2026-04-05 12:05:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:05:00-04:00,2026-04-05 12:05:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:10:00-04:00,2026-04-05 12:10:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:10:00-04:00,2026-04-05 12:10:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:15:00-04:00,2026-04-05 12:15:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:15:00-04:00,2026-04-05 12:15:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:20:00-04:00,2026-04-05 12:20:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:20:00-04:00,2026-04-05 12:20:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:25:00-04:00,2026-04-05 12:25:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:25:00-04:00,2026-04-05 12:25:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:30:00-04:00,2026-04-05 12:30:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:30:00-04:00,2026-04-05 12:30:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:35:00-04:00,2026-04-05 12:35:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:35:00-04:00,2026-04-05 12:35:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:40:00-04:00,2026-04-05 12:40:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:40:00-04:00,2026-04-05 12:40:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:45:00-04:00,2026-04-05 12:45:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-04-05 08:45:00-04:00,2026-04-05 12:45:00+00:00,Vanderbilt Commodores,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-04-05 08:50:00-04:00,2026-04-05 12:50:00+00:00,Notre Dame Fighting Irish,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
